County,Region,Cipro,Levo,Nitro,Trimeth,Amox
Crawford,4,87.453926,87.692596,95.147492,83.174505,0
Florence,3,83.953465,85.314465,94.913455,82.306152,0
Washburn,1,85.912727,85.900931,95.591941,84.584793,69
Buffalo,4,87.453926,87.692596,95.147492,83.174505,0
Door,3,83.953465,85.314465,94.913455,82.306152,0
Iron,2,84.831547,85.913506,95.962073,85.204472,0
Lincoln,2,84.831547,85.913506,95.962073,85.204472,0
Marinette,3,83.953465,85.314465,94.913455,82.306152,0
Rusk,1,85.912727,85.900931,95.591941,84.584793,69
Sauk,5,82.955076,86.469826,97.181013,81.07745,0
Trempealeau,4,87.453926,87.692596,95.147492,83.174505,0
Adams,5,82.955076,86.469826,97.181013,81.07745,0
Ashland,1,85.912727,85.900931,95.591941,84.584793,69
Grant,5,82.955076,86.469826,97.181013,81.07745,0
Juneau,5,82.955076,86.469826,97.181013,81.07745,0
Waupaca,6,89.350477,89.604984,93.000106,85.043372,0
Bayfield,1,85.912727,85.900931,95.591941,84.584793,69
Burnett,1,85.912727,85.900931,95.591941,84.584793,69
Dunn,1,85.912727,85.900931,95.591941,84.584793,69
Green Lake,6,89.350477,89.604984,93.000106,85.043372,0
Jackson,4,87.453926,87.692596,95.147492,83.174505,0
Langlade,2,84.831547,85.913506,95.962073,85.204472,0
Oneida,2,84.831547,85.913506,95.962073,85.204472,0
Ozaukee,7,78.902357,79.337518,95.579116,79.682045,0
Price,2,84.831547,85.913506,95.962073,85.204472,0
Rock,5,82.955076,86.469826,97.181013,81.07745,0
Shawano,6,89.350477,89.604984,93.000106,85.043372,0
Taylor,2,84.831547,85.913506,95.962073,85.204472,0
Winnebago,6,89.350477,89.604984,93.000106,85.043372,0
Brown,3,83.953465,85.314465,94.913455,82.306152,0
Barron,1,85.912727,85.900931,95.591941,84.584793,69
Calumet,6,89.350477,89.604984,93.000106,85.043372,0
Clark,2,84.831547,85.913506,95.962073,85.204472,0
Columbia,5,82.955076,86.469826,97.181013,81.07745,0
Dane,5,82.955076,86.469826,97.181013,81.07745,0
Douglas,1,85.912727,85.900931,95.591941,84.584793,69
Eau Claire,1,85.912727,85.900931,95.591941,84.584793,69
Green,5,82.955076,86.469826,97.181013,81.07745,0
Menominee,3,83.953465,85.314465,94.913455,82.306152,0
Iowa,5,82.955076,86.469826,97.181013,81.07745,0
Jefferson,5,82.955076,86.469826,97.181013,81.07745,0
Kenosha,7,78.902357,79.337518,95.579116,79.682045,0
La Crosse,4,87.453926,87.692596,95.147492,83.174505,0
Lafayette,5,82.955076,86.469826,97.181013,81.07745,0
Outagamie,6,89.350477,89.604984,93.000106,85.043372,0
Pepin,1,85.912727,85.900931,95.591941,84.584793,69
Portage,2,84.831547,85.913506,95.962073,85.204472,0
Racine,7,78.902357,79.337518,95.579116,79.682045,0
Vernon,4,87.453926,87.692596,95.147492,83.174505,0
Washington,7,78.902357,79.337518,95.579116,79.682045,0
Waukesha,7,78.902357,79.337518,95.579116,79.682045,0
Wood,2,84.831547,85.913506,95.962073,85.204472,0
Sawyer,1,85.912727,85.900931,95.591941,84.584793,69
Chippewa,1,85.912727,85.900931,95.591941,84.584793,69
Dodge,5,82.955076,86.469826,97.181013,81.07745,0
Manitowoc,3,83.953465,85.314465,94.913455,82.306152,0
Milwaukee,7,78.902357,79.337518,95.579116,79.682045,0
Oconto,3,83.953465,85.314465,94.913455,82.306152,0
Pierce,1,85.912727,85.900931,95.591941,84.584793,69
Polk,1,85.912727,85.900931,95.591941,84.584793,69
St. Croix,1,85.912727,85.900931,95.591941,84.584793,69
Sheboygan,7,78.902357,79.337518,95.579116,79.682045,0
Vilas,2,84.831547,85.913506,95.962073,85.204472,0
Walworth,7,78.902357,79.337518,95.579116,79.682045,0
Waushara,6,89.350477,89.604984,93.000106,85.043372,0
Forest,2,84.831547,85.913506,95.962073,85.204472,0
Monroe,4,87.453926,87.692596,95.147492,83.174505,0
Kewaunee,3,83.953465,85.314465,94.913455,82.306152,0
Marquette,5,82.955076,86.469826,97.181013,81.07745,0
Fond du Lac,6,89.350477,89.604984,93.000106,85.043372,0
Marathon,2,84.831547,85.913506,95.962073,85.204472,0
Richland,5,82.955076,86.469826,97.181013,81.07745,0
